X	Y
38.664448	-5.962201
38.661602	-5.963123
38.656017	-5.965382
38.648838	-5.968965
38.647091	-5.969968
38.644691	-5.971713
38.642838	-5.97408
38.641853	-5.975842
38.636803	-5.986739
38.635242	-5.989293
38.633892	-5.990797
38.631474	-5.992536
38.623657	-5.99513
38.6217	-5.995637
38.617882	-5.995933
38.61517	-5.995103
38.608185	-5.990739
38.606216	-5.990313
38.60223	-5.991045
38.598335	-5.992147
38.595871	-5.993608
38.59354	-5.996953
38.586857	-6.002986
38.57365	-6.015589
38.567741	-6.020887
38.565506	-6.022758
38.561358	-6.024219
38.559769	-6.02272
38.558708	-6.020991
38.557766	-6.018145
38.558384	-6.016195
38.557903	-6.01418
38.555992	-6.0121
38.552128	-6.010779
38.550682	-6.009371
38.54813	-6.007857
38.546177	-6.007386
38.544182	-6.007604
38.541481	-6.008903
38.539818	-6.010014
38.538204	-6.011201
38.535942	-6.013177
38.5331	-6.016035
38.530872	-6.017996
38.526951	-6.018498
38.523956	-6.01826
38.52002	-6.019039
38.513065	-6.018511
38.511082	-6.018767
38.509129	-6.018304
38.504581	-6.016238
38.49741	-6.012678
38.494	-6.010588
38.49247	-6.009216
38.489956	-6.007743
38.48793	-6.007472
38.48592	-6.00767
38.483986	-6.008185
38.480209	-6.009706
38.478203	-6.011635
38.47718	-6.013357
38.474464	-6.016307
38.470901	-6.021226
38.46891	-6.023393
38.466244	-6.024768
38.464241	-6.025162
38.46125	-6.024984
38.459297	-6.024487
38.457417	-6.023788
38.45475	-6.022401
38.449673	-6.017612
38.447777	-6.016963
38.445782	-6.016677
38.442966	-6.01761
38.438015	-6.021013
38.436211	-6.021909
38.432179	-6.022838
38.428646	-6.021779
38.426052	-6.01854
38.424538	-6.013772
38.423656	-6.011971
38.4161	-6.000182
38.414852	-5.997468
38.413525	-5.993647
38.412094	-5.99107
38.410732	-5.989595
38.409203	-5.988258
38.406719	-5.986606
38.404812	-5.985927
38.40284	-5.985466
38.399921	-5.986044
38.397991	-5.986632
38.396111	-5.987353
38.393459	-5.988719
38.387581	-5.992555
38.384899	-5.993897
38.382935	-5.994296
38.37899	-5.993949
38.377136	-5.993161
38.37463	-5.991579
38.37265	-5.991236
38.370636	-5.991126
38.368633	-5.991313
38.362408	-5.994506
38.359486	-5.994908
38.356503	-5.994922
38.34647	-5.994464
38.345375	-5.99173
38.344505	-5.988876
38.344334	-5.985909
38.344532	-5.97988
38.344425	-5.977881
38.343994	-5.974911
38.34343	-5.972988
38.342602	-5.971161
38.340534	-5.969092
38.338642	-5.968349
38.33696	-5.967261
38.334812	-5.965177
38.333668	-5.963519
38.332447	-5.960787
38.33123	-5.956963
38.330296	-5.955185
38.328274	-5.952995
38.326344	-5.952181
38.324432	-5.950183
38.32399	-5.948171
38.322876	-5.945367
38.321735	-5.943711
38.31963	-5.941592
38.317753	-5.940858
38.315739	-5.940772
38.310551	-5.941055
38.307674	-5.940697
38.305267	-5.939259
38.301266	-5.934513
38.298817	-5.932889
38.29678	-5.932622
38.294785	-5.932851
38.290886	-5.932852
38.287178	-5.931255
38.284206	-5.930819
38.281254	-5.931218
38.273361	-5.932796
38.270969	-5.934521
38.268394	-5.93606
38.26659	-5.936931
38.264679	-5.9376
38.261726	-5.937344
38.259758	-5.9369
38.256908	-5.935956
38.255085	-5.935113
38.253002	-5.934865
38.249855	-5.934756
38.24865	-5.932702
38.248711	-5.930448
38.243938	-5.92944
38.24284	-5.927581
38.240841	-5.925833
38.238033	-5.925812
38.238876	-5.920738
38.235023	-5.921953
38.232105	-5.922587
38.229229	-5.921844
38.22752	-5.920519
38.226288	-5.918059
38.227108	-5.916138
38.227402	-5.913311
38.224583	-5.909135
38.224373	-5.907126
38.22361	-5.905203
38.221588	-5.90318
38.219543	-5.902647
38.217571	-5.900855
38.217548	-5.898686
38.216831	-5.896406
38.214661	-5.896876
38.210926	-5.897133
38.207649	-5.894604
38.20504	-5.893423
38.203094	-5.894245
38.201847	-5.895972
38.199825	-5.89757
38.19767	-5.895553
38.198318	-5.893537
38.200478	-5.891431
38.204914	-5.884678
38.202057	-5.882326
38.200699	-5.879646
38.198524	-5.877763
38.196552	-5.877318
38.194546	-5.877181
38.192589	-5.876729
38.189884	-5.875476
38.18483	-5.872224
38.18301	-5.871276
38.180641	-5.87303
38.177444	-5.873335
38.175735	-5.872124
38.171703	-5.871265
38.169544	-5.86963
38.170174	-5.867729
38.171635	-5.866118
38.172024	-5.863556
38.169594	-5.861917
38.167568	-5.861704
38.165779	-5.860773
38.163742	-5.858594
38.157806	-5.859876
38.154259	-5.858805
38.152618	-5.857527
38.149799	-5.856673
38.147808	-5.856931
38.143833	-5.85703
38.141869	-5.856592
38.13979	-5.856501
38.137844	-5.858494
38.136765	-5.86021
38.135986	-5.862061
38.135754	-5.864456
38.134209	-5.866662
38.130486	-5.864261
38.12759	-5.863435
38.123608	-5.862864
38.116894	-5.860881
38.112053	-5.859686
38.109352	-5.858398
38.104519	-5.858162
